"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 26 02:49:07 GMT 2024","Sat Oct 26 02:49:08 GMT 2024","1017","chromium","cart.spec.ts","Cart Swag Lab","","","User should be able to see added item in my shopping cart page",""
"passed","Sat Oct 26 02:49:15 GMT 2024","Sat Oct 26 02:49:16 GMT 2024","526","chromium","product.spec.ts","Produc Swag Lab","","","Check user should be able to add an inventory to the cart",""
"passed","Sat Oct 26 02:49:13 GMT 2024","Sat Oct 26 02:49:13 GMT 2024","410","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with some username and blank password",""
"passed","Sat Oct 26 02:49:12 GMT 2024","Sat Oct 26 02:49:13 GMT 2024","444","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with blank username and some password",""
"passed","Sat Oct 26 02:49:12 GMT 2024","Sat Oct 26 02:49:12 GMT 2024","433","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with blank username and password",""
"passed","Sat Oct 26 02:49:11 GMT 2024","Sat Oct 26 02:49:12 GMT 2024","450","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with invalid usernames and valid passwords",""
"passed","Sat Oct 26 02:49:14 GMT 2024","Sat Oct 26 02:49:14 GMT 2024","466","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option high to low is working correctly",""
"passed","Sat Oct 26 02:49:11 GMT 2024","Sat Oct 26 02:49:11 GMT 2024","438","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with valid usernames and invalid passwords",""
"passed","Sat Oct 26 02:49:16 GMT 2024","Sat Oct 26 02:49:16 GMT 2024","540","chromium","product.spec.ts","Produc Swag Lab","","","Check user should be able to remove an inventory to the cart",""
"passed","Sat Oct 26 02:49:10 GMT 2024","Sat Oct 26 02:49:10 GMT 2024","814","chromium","checkout.spec.ts","Checkout Swag Lab","","","User should be able to checkout and complete purchase",""
"passed","Sat Oct 26 02:49:14 GMT 2024","Sat Oct 26 02:49:15 GMT 2024","467","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option AZ is working correctly",""
"passed","Sat Oct 26 02:49:13 GMT 2024","Sat Oct 26 02:49:14 GMT 2024","463","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option low to high is working correctly",""
"passed","Sat Oct 26 02:49:10 GMT 2024","Sat Oct 26 02:49:11 GMT 2024","419","chromium","login.spec.ts","Login to Swag lab page","","","Check the login functionality with accepted usernames and passwords",""
"passed","Sat Oct 26 02:49:15 GMT 2024","Sat Oct 26 02:49:15 GMT 2024","465","chromium","product.spec.ts","Produc Swag Lab","","","Check whether product sort option ZA is working correctly",""
