"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","419","Check the login functionality with accepted usernames and passwords","chromium","Sat Nov 09 02:44:47 GMT 2024","passed","Sat Nov 09 02:44:47 GMT 2024","Login to Swag lab page","login.spec.ts","",""
"","422","Check the login functionality with valid usernames and invalid passwords","chromium","Sat Nov 09 02:44:47 GMT 2024","passed","Sat Nov 09 02:44:47 GMT 2024","Login to Swag lab page","login.spec.ts","",""
"","449","Check whether product sort option AZ is working correctly","chromium","Sat Nov 09 02:44:50 GMT 2024","passed","Sat Nov 09 02:44:50 GMT 2024","Produc Swag Lab","product.spec.ts","",""
"","433","Check whether product sort option low to high is working correctly","chromium","Sat Nov 09 02:44:49 GMT 2024","passed","Sat Nov 09 02:44:50 GMT 2024","Produc Swag Lab","product.spec.ts","",""
"","859","User should be able to checkout and complete purchase","chromium","Sat Nov 09 02:44:46 GMT 2024","passed","Sat Nov 09 02:44:47 GMT 2024","Checkout Swag Lab","checkout.spec.ts","",""
"","406","Check the login functionality with some username and blank password","chromium","Sat Nov 09 02:44:49 GMT 2024","passed","Sat Nov 09 02:44:49 GMT 2024","Login to Swag lab page","login.spec.ts","",""
"","440","Check whether product sort option high to low is working correctly","chromium","Sat Nov 09 02:44:50 GMT 2024","passed","Sat Nov 09 02:44:50 GMT 2024","Produc Swag Lab","product.spec.ts","",""
"","451","Check whether product sort option ZA is working correctly","chromium","Sat Nov 09 02:44:50 GMT 2024","passed","Sat Nov 09 02:44:51 GMT 2024","Produc Swag Lab","product.spec.ts","",""
"","511","Check user should be able to add an inventory to the cart","chromium","Sat Nov 09 02:44:51 GMT 2024","passed","Sat Nov 09 02:44:51 GMT 2024","Produc Swag Lab","product.spec.ts","",""
"","438","Check the login functionality with invalid usernames and valid passwords","chromium","Sat Nov 09 02:44:47 GMT 2024","passed","Sat Nov 09 02:44:48 GMT 2024","Login to Swag lab page","login.spec.ts","",""
"","784","User should be able to see added item in my shopping cart page","chromium","Sat Nov 09 02:44:43 GMT 2024","passed","Sat Nov 09 02:44:44 GMT 2024","Cart Swag Lab","cart.spec.ts","",""
"","543","Check user should be able to remove an inventory to the cart","chromium","Sat Nov 09 02:44:51 GMT 2024","passed","Sat Nov 09 02:44:52 GMT 2024","Produc Swag Lab","product.spec.ts","",""
"","409","Check the login functionality with blank username and some password","chromium","Sat Nov 09 02:44:48 GMT 2024","passed","Sat Nov 09 02:44:49 GMT 2024","Login to Swag lab page","login.spec.ts","",""
"","414","Check the login functionality with blank username and password","chromium","Sat Nov 09 02:44:48 GMT 2024","passed","Sat Nov 09 02:44:48 GMT 2024","Login to Swag lab page","login.spec.ts","",""
